KO	Function	Pathway	Enzyme	Modules	Hyperlink
K08874	TRRAP; transformation/transcription domain-associated protein	map05166(HTLV-I infection)			http://rest.kegg.jp/get/K08874
K08875	NRBP; nuclear receptor-binding protein				http://rest.kegg.jp/get/K08875
K08876	SCYL1; SCY1-like protein 1				http://rest.kegg.jp/get/K08876
K08877	UHMK1, KIS; U2AF homology motif (UHM) kinase 1		EC:2.7.11.1		http://rest.kegg.jp/get/K08877
K08878	BCR1, BCR; breakpoint cluster region protein	map05200(Pathways in cancer); map05220(Chronic myeloid leukemia)	EC:2.7.11.1		http://rest.kegg.jp/get/K08878
K08879	HSPB8; heat shock protein beta-8				http://rest.kegg.jp/get/K08879
K08880	STK19; serine/threonine kinase 19		EC:2.7.11.1		http://rest.kegg.jp/get/K08880
K08881	TRIM24, TIF1A; tripartite motif-containing protein 24		EC:2.3.2.27		http://rest.kegg.jp/get/K08881
K08882	TRIM28, TIF1B; tripartite motif-containing protein 28		EC:2.3.2.27		http://rest.kegg.jp/get/K08882
K08883	TRIM33, TIF1G; tripartite motif-containing protein 33		EC:2.3.2.27		http://rest.kegg.jp/get/K08883
K08884	K08884; serine/threonine protein kinase, bacterial		EC:2.7.11.1		http://rest.kegg.jp/get/K08884
K08885	TNK1; non-receptor tyrosine-protein kinase TNK1		EC:2.7.10.2		http://rest.kegg.jp/get/K08885
K08886	TNK2, ACK1; activated CDC42 kinase 1		EC:2.7.10.2 EC:2.7.11.1		http://rest.kegg.jp/get/K08886
K08887	ABL2; abelson tyrosine-protein kinase 2	map04012(ErbB signaling pathway); map04014(Ras signaling pathway); map05416(Viral myocarditis)	EC:2.7.10.2		http://rest.kegg.jp/get/K08887
K08888	MATK; megakaryocyte-associated tyrosine kinase	map04722(Neurotrophin signaling pathway)	EC:2.7.10.2		http://rest.kegg.jp/get/K08888
K08889	FER, TYK3; tyrosine-protein kinase Fer		EC:2.7.10.2		http://rest.kegg.jp/get/K08889
K08890	BLK; B lymphoid tyrosine kinase		EC:2.7.10.2		http://rest.kegg.jp/get/K08890
K08891	FGR, SRC2; tyrosine-protein kinase Fgr	map04062(Chemokine signaling pathway); map05169(Epstein-Barr virus infection)	EC:2.7.10.2		http://rest.kegg.jp/get/K08891
K08892	FRK, PTK5; fyn-related kinase	map04013(MAPK signaling pathway - fly)	EC:2.7.10.2		http://rest.kegg.jp/get/K08892
K08893	HCK; hemopoietic cell kinase	map04062(Chemokine signaling pathway); map04666(Fc gamma R-mediated phagocytosis); map05167(Kaposi's sarcoma-associated herpesvirus infection)	EC:2.7.10.2		http://rest.kegg.jp/get/K08893
K08894	PTK6, BRK; protein tyrosine kinase 6		EC:2.7.10.2		http://rest.kegg.jp/get/K08894
K08895	SRMS; tyrosine-protein kinase Srms		EC:2.7.10.2		http://rest.kegg.jp/get/K08895
K08896	BMX, ETK; cytoplasmic tyrosine-protein kinase BMX		EC:2.7.10.2		http://rest.kegg.jp/get/K08896
K08897	EPHA10; Eph receptor A10		EC:2.7.10.1		http://rest.kegg.jp/get/K08897
K08898	LMTK2; lemur tyrosine kinase 2		EC:2.7.10.1		http://rest.kegg.jp/get/K08898
K08899	LMTK3; lemur tyrosine kinase 3		EC:2.7.10.1		http://rest.kegg.jp/get/K08899
K08900	BCS1; mitochondrial chaperone BCS1				http://rest.kegg.jp/get/K08900
K08901	psbQ; photosystem II oxygen-evolving enhancer protein 3	map00195(Photosynthesis); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K08901
K08902	psb27; photosystem II Psb27 protein	map00195(Photosynthesis); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K08902
K08903	psb28; photosystem II 13kDa protein	map00195(Photosynthesis); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K08903
K08904	psb28-2; photosystem II Psb28-2 protein	map00195(Photosynthesis); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K08904
K08905	psaG; photosystem I subunit V	map00195(Photosynthesis); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K08905
K08906	petJ; cytochrome c6	map00195(Photosynthesis)			http://rest.kegg.jp/get/K08906
K08907	LHCA1; light-harvesting complex I chlorophyll a/b binding protein 1	map00196(Photosynthesis - antenna proteins)			http://rest.kegg.jp/get/K08907
K08908	LHCA2; light-harvesting complex I chlorophyll a/b binding protein 2	map00196(Photosynthesis - antenna proteins)			http://rest.kegg.jp/get/K08908
K08909	LHCA3; light-harvesting complex I chlorophyll a/b binding protein 3	map00196(Photosynthesis - antenna proteins)			http://rest.kegg.jp/get/K08909
K08910	LHCA4; light-harvesting complex I chlorophyll a/b binding protein 4	map00196(Photosynthesis - antenna proteins)			http://rest.kegg.jp/get/K08910
K08911	LHCA5; light-harvesting complex I chlorophyll a/b binding protein 5	map00196(Photosynthesis - antenna proteins)			http://rest.kegg.jp/get/K08911
K08912	LHCB1; light-harvesting complex II chlorophyll a/b binding protein 1	map00196(Photosynthesis - antenna proteins); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K08912
K08913	LHCB2; light-harvesting complex II chlorophyll a/b binding protein 2	map00196(Photosynthesis - antenna proteins); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K08913
K08914	LHCB3; light-harvesting complex II chlorophyll a/b binding protein 3	map00196(Photosynthesis - antenna proteins); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K08914
K08915	LHCB4; light-harvesting complex II chlorophyll a/b binding protein 4	map00196(Photosynthesis - antenna proteins); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K08915
K08916	LHCB5; light-harvesting complex II chlorophyll a/b binding protein 5	map00196(Photosynthesis - antenna proteins); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K08916
K08917	LHCB6; light-harvesting complex II chlorophyll a/b binding protein 6	map00196(Photosynthesis - antenna proteins); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K08917
K08918	pcbA; chlorophyll a/b binding light-harvesting protein PcbA				http://rest.kegg.jp/get/K08918
K08919	pcbB; chlorophyll a/b binding light-harvesting protein PcbB				http://rest.kegg.jp/get/K08919
K08920	pcbC; chlorophyll a/b binding light-harvesting protein PcbC				http://rest.kegg.jp/get/K08920
K08921	pcbD; chlorophyll a/b binding light-harvesting protein PcbD				http://rest.kegg.jp/get/K08921
K08922	pcbE; chlorophyll a/b binding light-harvesting protein PcbE				http://rest.kegg.jp/get/K08922
K08923	pcbF; chlorophyll a/b binding light-harvesting protein PcbF				http://rest.kegg.jp/get/K08923
K08924	pcbG; chlorophyll a/b binding light-harvesting protein PcbG				http://rest.kegg.jp/get/K08924
K08925	pcbH; chlorophyll a/b binding light-harvesting protein PcbH				http://rest.kegg.jp/get/K08925
K08926	pufA; light-harvesting complex 1 alpha chain	map02020(Two-component system)			http://rest.kegg.jp/get/K08926
K08927	pufB; light-harvesting complex 1 beta chain	map02020(Two-component system)			http://rest.kegg.jp/get/K08927
K08928	pufL; photosynthetic reaction center L subunit	map02020(Two-component system)		M00597	http://rest.kegg.jp/get/K08928
K08929	pufM; photosynthetic reaction center M subunit	map02020(Two-component system)		M00597	http://rest.kegg.jp/get/K08929
K08930	pucA; light-harvesting protein B-800-850 alpha chain	map02020(Two-component system)			http://rest.kegg.jp/get/K08930
K08939	pucB; light-harvesting protein B-800-850 beta chain	map02020(Two-component system)			http://rest.kegg.jp/get/K08939
K08940	pscA; photosystem P840 reaction center large subunit			M00598	http://rest.kegg.jp/get/K08940
K08941	pscB; photosystem P840 reaction center iron-sulfur protein			M00598	http://rest.kegg.jp/get/K08941
K08942	pscC; photosystem P840 reaction center cytochrome c551			M00598	http://rest.kegg.jp/get/K08942
K08943	pscD; photosystem P840 reaction center protein PscD			M00598	http://rest.kegg.jp/get/K08943
K08944	fmoA; bacteriochlorophyll A protein				http://rest.kegg.jp/get/K08944
K08945	csmA; chlorosome envelope protein A				http://rest.kegg.jp/get/K08945
K08946	csmB; chlorosome envelope protein B				http://rest.kegg.jp/get/K08946
K08947	csmC; chlorosome envelope protein C				http://rest.kegg.jp/get/K08947
K08948	csmD; chlorosome envelope protein D				http://rest.kegg.jp/get/K08948
K08949	csmE; chlorosome envelope protein E				http://rest.kegg.jp/get/K08949
K08950	csmF; chlorosome envelope protein F				http://rest.kegg.jp/get/K08950
K08951	csmH; chlorosome envelope protein H				http://rest.kegg.jp/get/K08951
K08952	csmI; chlorosome envelope protein I				http://rest.kegg.jp/get/K08952
K08953	csmJ; chlorosome envelope protein J				http://rest.kegg.jp/get/K08953
K08954	csmX; chlorosome envelope protein X				http://rest.kegg.jp/get/K08954
K08955	YME1; ATP-dependent metalloprotease	map04139(Mitophagy - yeast)	EC:3.4.24.-		http://rest.kegg.jp/get/K08955
K08956	AFG3; AFG3 family protein		EC:3.4.24.-		http://rest.kegg.jp/get/K08956
K08957	CSNK1A; casein kinase 1, alpha	map04310(Wnt signaling pathway); map04340(Hedgehog signaling pathway); map04341(Hedgehog signaling pathway - fly); map05165(Human papillomavirus infection); map05224(Breast cancer); map05225(Hepatocellular carcinoma); map05226(Gastric cancer)	EC:2.7.11.1		http://rest.kegg.jp/get/K08957
K08958	CSNK1G; casein kinase 1, gamma	map04340(Hedgehog signaling pathway); map04341(Hedgehog signaling pathway - fly)	EC:2.7.11.1		http://rest.kegg.jp/get/K08958
K08959	CSNK1D; casein kinase 1, delta	map04340(Hedgehog signaling pathway); map04390(Hippo signaling pathway); map04540(Gap junction); map04710(Circadian rhythm)	EC:2.7.11.1		http://rest.kegg.jp/get/K08959
K08960	CSNK1E; casein kinase 1, epsilon	map04068(FoxO signaling pathway); map04310(Wnt signaling pathway); map04340(Hedgehog signaling pathway); map04341(Hedgehog signaling pathway - fly); map04390(Hippo signaling pathway); map04391(Hippo signaling pathway - fly); map04392(Hippo signaling pathway - multiple species); map04710(Circadian rhythm); map04711(Circadian rhythm - fly)	EC:2.7.11.1		http://rest.kegg.jp/get/K08960
K08961	K08961; chondroitin-sulfate-ABC endolyase/exolyase		EC:4.2.2.20 EC:4.2.2.21		http://rest.kegg.jp/get/K08961
K08963	mtnA; methylthioribose-1-phosphate isomerase	map00270(Cysteine and methionine metabolism); map01100(Metabolic pathways)	EC:5.3.1.23	M00034	http://rest.kegg.jp/get/K08963
K08964	mtnB; methylthioribulose-1-phosphate dehydratase	map00270(Cysteine and methionine metabolism); map01100(Metabolic pathways)	EC:4.2.1.109	M00034	http://rest.kegg.jp/get/K08964
K08965	mtnW; 2,3-diketo-5-methylthiopentyl-1-phosphate enolase	map00270(Cysteine and methionine metabolism); map01100(Metabolic pathways)	EC:5.3.2.5	M00034	http://rest.kegg.jp/get/K08965
K08966	mtnX; 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	map00270(Cysteine and methionine metabolism); map01100(Metabolic pathways)	EC:3.1.3.87	M00034	http://rest.kegg.jp/get/K08966
K08967	mtnD, mtnZ, ADI1; 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	map00270(Cysteine and methionine metabolism); map01100(Metabolic pathways)	EC:1.13.11.53 EC:1.13.11.54	M00034	http://rest.kegg.jp/get/K08967
K08968	msrC; L-methionine (R)-S-oxide reductase	map00270(Cysteine and methionine metabolism)	EC:1.8.4.14		http://rest.kegg.jp/get/K08968
K08969	mtnE, mtnV; aminotransferase	map00270(Cysteine and methionine metabolism); map01100(Metabolic pathways)	EC:2.6.1.-	M00034	http://rest.kegg.jp/get/K08969
K08970	rcnA; nickel/cobalt exporter				http://rest.kegg.jp/get/K08970
K08971	K08971; putative membrane protein				http://rest.kegg.jp/get/K08971
K08972	K08972; putative membrane protein				http://rest.kegg.jp/get/K08972
K08973	K08973; putative membrane protein				http://rest.kegg.jp/get/K08973
K08974	K08974; putative membrane protein				http://rest.kegg.jp/get/K08974
K08975	K08975; putative membrane protein				http://rest.kegg.jp/get/K08975
K08976	K08976; putative membrane protein				http://rest.kegg.jp/get/K08976
K08977	cruF; bisanhydrobacterioruberin hydratase		EC:4.2.1.161		http://rest.kegg.jp/get/K08977
K08978	TC.BAT1; bacterial/archaeal transporter family protein				http://rest.kegg.jp/get/K08978
K08979	K08979; putative membrane protein				http://rest.kegg.jp/get/K08979
K08980	K08980; putative membrane protein				http://rest.kegg.jp/get/K08980
K08981	K08981; putative membrane protein				http://rest.kegg.jp/get/K08981
K08982	K08982; putative membrane protein				http://rest.kegg.jp/get/K08982
K08983	K08983; putative membrane protein				http://rest.kegg.jp/get/K08983
K08984	yjdF; putative membrane protein				http://rest.kegg.jp/get/K08984
K08985	K08985; putative lipoprotein				http://rest.kegg.jp/get/K08985
K08986	ycgQ; putative membrane protein				http://rest.kegg.jp/get/K08986
K08987	K08987; putative membrane protein				http://rest.kegg.jp/get/K08987
K08988	K08988; putative membrane protein				http://rest.kegg.jp/get/K08988
K08989	K08989; putative membrane protein				http://rest.kegg.jp/get/K08989
K08990	ycjF; putative membrane protein				http://rest.kegg.jp/get/K08990
K08991	MUS81; crossover junction endonuclease MUS81	map03440(Homologous recombination); map03460(Fanconi anemia pathway)	EC:3.1.22.-		http://rest.kegg.jp/get/K08991
K08992	lapA; lipopolysaccharide assembly protein A				http://rest.kegg.jp/get/K08992
K08993	yhhL; putative membrane protein				http://rest.kegg.jp/get/K08993
K08994	yneE, BEST; ion channel-forming bestrophin family protein				http://rest.kegg.jp/get/K08994
K08995	K08995; putative membrane protein				http://rest.kegg.jp/get/K08995
K08996	yagU; putative membrane protein				http://rest.kegg.jp/get/K08996
K08997	ydiU; uncharacterized protein				http://rest.kegg.jp/get/K08997
K08998	K08998; uncharacterized protein				http://rest.kegg.jp/get/K08998
K08999	K08999; uncharacterized protein				http://rest.kegg.jp/get/K08999
K09000	cmr4; CRISPR-associated protein Cmr4				http://rest.kegg.jp/get/K09000
K09001	anmK; anhydro-N-acetylmuramic acid kinase		EC:2.7.1.170		http://rest.kegg.jp/get/K09001
K09002	csm3; CRISPR-associated protein Csm3				http://rest.kegg.jp/get/K09002
K09003	K09003; uncharacterized protein				http://rest.kegg.jp/get/K09003
K09004	K09004; uncharacterized protein				http://rest.kegg.jp/get/K09004
K09005	K09005; uncharacterized protein				http://rest.kegg.jp/get/K09005
K09006	K09006; uncharacterized protein				http://rest.kegg.jp/get/K09006
K09007	folE2; GTP cyclohydrolase IB	map00790(Folate biosynthesis); map01100(Metabolic pathways)	EC:3.5.4.16	M00126	http://rest.kegg.jp/get/K09007
K09008	NDUFAF3; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	map04714(Thermogenesis)			http://rest.kegg.jp/get/K09008
K09009	K09009; uncharacterized protein				http://rest.kegg.jp/get/K09009
K09010	K09010; uncharacterized protein				http://rest.kegg.jp/get/K09010
K09011	cimA; (R)-citramalate synthase	map00290(Valine, leucine and isoleucine biosynthesis); map00660(C5-Branched dibasic acid metabolism); map01100(Metabolic pathways); map01210(2-Oxocarboxylic acid metabolism); map01230(Biosynthesis of amino acids)	EC:2.3.1.182	M00535	http://rest.kegg.jp/get/K09011
K09012	sufR; DeoR family transcriptional regulator, suf operon transcriptional repressor				http://rest.kegg.jp/get/K09012
K09013	sufC; Fe-S cluster assembly ATP-binding protein				http://rest.kegg.jp/get/K09013
K09014	sufB; Fe-S cluster assembly protein SufB				http://rest.kegg.jp/get/K09014
K09015	sufD; Fe-S cluster assembly protein SufD				http://rest.kegg.jp/get/K09015
K09016	rutG; putative pyrimidine permease RutG				http://rest.kegg.jp/get/K09016
K09017	rutR; TetR/AcrR family transcriptional regulator				http://rest.kegg.jp/get/K09017
K09018	rutA; pyrimidine oxygenase	map00240(Pyrimidine metabolism); map01100(Metabolic pathways)	EC:1.14.99.46		http://rest.kegg.jp/get/K09018
K09019	rutE; 3-hydroxypropanoate dehydrogenase	map00240(Pyrimidine metabolism); map01100(Metabolic pathways)	EC:1.1.1.-		http://rest.kegg.jp/get/K09019
K09020	rutB; ureidoacrylate peracid hydrolase	map00240(Pyrimidine metabolism); map01100(Metabolic pathways)	EC:3.5.1.110		http://rest.kegg.jp/get/K09020
K09021	rutC; aminoacrylate peracid reductase	map00240(Pyrimidine metabolism); map01100(Metabolic pathways)			http://rest.kegg.jp/get/K09021
K09022	ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase		EC:3.5.99.10		http://rest.kegg.jp/get/K09022
K09023	rutD; aminoacrylate hydrolase	map00240(Pyrimidine metabolism); map01100(Metabolic pathways)	EC:3.5.1.-		http://rest.kegg.jp/get/K09023
K09024	rutF; flavin reductase	map00240(Pyrimidine metabolism); map01100(Metabolic pathways)	EC:1.5.1.-		http://rest.kegg.jp/get/K09024
K09025	APOA5; apolipoprotein A-V	map03320(PPAR signaling pathway)			http://rest.kegg.jp/get/K09025
K09026	NPAS2; neuronal PAS domain-containing protein 2	map04710(Circadian rhythm)			http://rest.kegg.jp/get/K09026
K09027	XBP1; X box-binding protein 1	map04141(Protein processing in endoplasmic reticulum); map04932(Non-alcoholic fatty liver disease (NAFLD)); map05166(HTLV-I infection)			http://rest.kegg.jp/get/K09027
K09028	JUNB; transcription factor jun-B	map04380(Osteoclast differentiation); map04668(TNF signaling pathway)			http://rest.kegg.jp/get/K09028
K09029	FOSB; protein FosB	map04380(Osteoclast differentiation); map04657(IL-17 signaling pathway); map05030(Cocaine addiction); map05031(Amphetamine addiction); map05034(Alcoholism)			http://rest.kegg.jp/get/K09029
K09030	FOSL2; fos-like antigen 2	map04380(Osteoclast differentiation)			http://rest.kegg.jp/get/K09030
K09031	FOSLN; fos-like antigen, invertebrate	map04013(MAPK signaling pathway - fly); map04214(Apoptosis - fly); map04624(Toll and Imd signaling pathway)			http://rest.kegg.jp/get/K09031
K09032	ATF3, LRF1; activating transcription factor 3	map05166(HTLV-I infection)			http://rest.kegg.jp/get/K09032
K09033	JDP2; jun dimerization protein 2				http://rest.kegg.jp/get/K09033
K09034	BATF; ATF-like basic leucine zipper transcriptional factor				http://rest.kegg.jp/get/K09034
K09035	CMAF, MAF; transcription factor Maf	map04658(Th1 and Th2 cell differentiation); map05202(Transcriptional misregulation in cancer); map05321(Inflammatory bowel disease (IBD))			http://rest.kegg.jp/get/K09035
K09036	MAFB; transcription factor MAFB	map04928(Parathyroid hormone synthesis, secretion and action)			http://rest.kegg.jp/get/K09036
K09037	MAFF_G_K; transcription factor MAFF/G/K				http://rest.kegg.jp/get/K09037
K09038	NRL; neural retina-specific leucine zipper protein				http://rest.kegg.jp/get/K09038
K09039	NFE2; nuclear factor erythroid 2				http://rest.kegg.jp/get/K09039
K09040	NFE2L1_3; nuclear factor erythroid 2-related factor 1/3				http://rest.kegg.jp/get/K09040
K09041	NFE2N, CNC; nuclear factor erythroid 2, invertebrate				http://rest.kegg.jp/get/K09041
K09042	BACH; transcription regulator BACH				http://rest.kegg.jp/get/K09042
K09043	YAP; AP-1-like transcription factor				http://rest.kegg.jp/get/K09043
K09044	ATF5; activating transcription factor 5				http://rest.kegg.jp/get/K09044
K09045	ATF7, ATFA; activating transcription factor 7				http://rest.kegg.jp/get/K09045
K09047	CREB5, CREBPA; cyclic AMP-responsive element-binding protein 5	map04022(cGMP-PKG signaling pathway); map04024(cAMP signaling pathway); map04151(PI3K-Akt signaling pathway); map04152(AMPK signaling pathway); map04211(Longevity regulating pathway); map04261(Adrenergic signaling in cardiomyocytes); map04668(TNF signaling pathway); map04714(Thermogenesis); map04725(Cholinergic synapse); map04728(Dopaminergic synapse); map04911(Insulin secretion); map04915(Estrogen signaling pathway); map04918(Thyroid hormone synthesis); map04922(Glucagon signaling pathway); map04925(Aldosterone synthesis and secretion); map04926(Relaxin signaling pathway); map04927(Cortisol synthesis and secretion); map04928(Parathyroid hormone synthesis, secretion and action); map04931(Insulin resistance); map04934(Cushing's syndrome); map04962(Vasopressin-regulated water reabsorption); map05016(Huntington's disease); map05030(Cocaine addiction); map05031(Amphetamine addiction); map05034(Alcoholism); map05161(Hepatitis B); map05165(Human papillomavirus infection); map05203(Viral carcinogenesis); map05215(Prostate cancer)			http://rest.kegg.jp/get/K09047
K09048	CREB3; cyclic AMP-responsive element-binding protein 3	map04022(cGMP-PKG signaling pathway); map04024(cAMP signaling pathway); map04151(PI3K-Akt signaling pathway); map04152(AMPK signaling pathway); map04211(Longevity regulating pathway); map04261(Adrenergic signaling in cardiomyocytes); map04668(TNF signaling pathway); map04714(Thermogenesis); map04725(Cholinergic synapse); map04728(Dopaminergic synapse); map04911(Insulin secretion); map04915(Estrogen signaling pathway); map04916(Melanogenesis); map04918(Thyroid hormone synthesis); map04922(Glucagon signaling pathway); map04925(Aldosterone synthesis and secretion); map04926(Relaxin signaling pathway); map04927(Cortisol synthesis and secretion); map04928(Parathyroid hormone synthesis, secretion and action); map04931(Insulin resistance); map04934(Cushing's syndrome); map04962(Vasopressin-regulated water reabsorption); map05016(Huntington's disease); map05030(Cocaine addiction); map05031(Amphetamine addiction); map05034(Alcoholism); map05161(Hepatitis B); map05165(Human papillomavirus infection); map05203(Viral carcinogenesis); map05215(Prostate cancer)			http://rest.kegg.jp/get/K09048
K09049	ATF6B, CREBL1; cyclic AMP-dependent transcription factor ATF-6 beta	map04022(cGMP-PKG signaling pathway); map04141(Protein processing in endoplasmic reticulum); map04151(PI3K-Akt signaling pathway); map04211(Longevity regulating pathway); map04261(Adrenergic signaling in cardiomyocytes); map04668(TNF signaling pathway); map04728(Dopaminergic synapse); map04911(Insulin secretion); map04915(Estrogen signaling pathway); map04918(Thyroid hormone synthesis); map04925(Aldosterone synthesis and secretion); map04926(Relaxin signaling pathway); map04927(Cortisol synthesis and secretion); map04928(Parathyroid hormone synthesis, secretion and action); map04934(Cushing's syndrome); map05030(Cocaine addiction); map05031(Amphetamine addiction); map05034(Alcoholism); map05161(Hepatitis B); map05203(Viral carcinogenesis)			http://rest.kegg.jp/get/K09049
K09050	CREBN; cAMP response element-binding protein, invertebrate				http://rest.kegg.jp/get/K09050
K09051	SKO1, ATF1, PCR1; ATF/CREB family transcription factor	map04011(MAPK signaling pathway - yeast)			http://rest.kegg.jp/get/K09051
K09052	CREM; cAMP response element modulator	map04261(Adrenergic signaling in cardiomyocytes); map05166(HTLV-I infection)			http://rest.kegg.jp/get/K09052
K09053	ATF1; activating transcription factor 1	map04925(Aldosterone synthesis and secretion); map05166(HTLV-I infection); map05202(Transcriptional misregulation in cancer)			http://rest.kegg.jp/get/K09053
K09054	ATF6A; cyclic AMP-dependent transcription factor ATF-6 alpha	map04141(Protein processing in endoplasmic reticulum); map05010(Alzheimer's disease)			http://rest.kegg.jp/get/K09054
K09055	CEBPA; CCAAT/enhancer binding protein (C/EBP), alpha	map04932(Non-alcoholic fatty liver disease (NAFLD)); map05200(Pathways in cancer); map05202(Transcriptional misregulation in cancer); map05221(Acute myeloid leukemia)			http://rest.kegg.jp/get/K09055
K09056	DBP; albumin D box-binding protein				http://rest.kegg.jp/get/K09056
K09057	HLF; hepatic leukemia factor	map04711(Circadian rhythm - fly)			http://rest.kegg.jp/get/K09057
K09058	TEF; thyrotrophic embryonic factor				http://rest.kegg.jp/get/K09058
K09059	NFIL3, E4BP4; nuclear factor, interleukin 3 regulated				http://rest.kegg.jp/get/K09059
K09060	GBF; plant G-box-binding factor				http://rest.kegg.jp/get/K09060
K09061	GCF, C2orf3; GC-rich sequence DNA-binding factor				http://rest.kegg.jp/get/K09061
K09062	GT; protein giant				http://rest.kegg.jp/get/K09062
K09063	TCF3, E2A; transcription factor E2-alpha	map04550(Signaling pathways regulating pluripotency of stem cells); map05166(HTLV-I infection); map05202(Transcriptional misregulation in cancer)			http://rest.kegg.jp/get/K09063
K09064	MYOD1, MYF3; myogenic factor 3				http://rest.kegg.jp/get/K09064
K09065	argF; N-acetylornithine carbamoyltransferase	map00220(Arginine biosynthesis); map01100(Metabolic pathways); map01230(Biosynthesis of amino acids)	EC:2.1.3.9	M00845	http://rest.kegg.jp/get/K09065
K09066	FIGLA; factor in the germline alpha				http://rest.kegg.jp/get/K09066
K09067	ASCL; achaete-scute complex protein				http://rest.kegg.jp/get/K09067
K09068	TAL; T-cell acute lymphocytic leukemia protein				http://rest.kegg.jp/get/K09068
K09069	TWIST; twist	map05205(Proteoglycans in cancer)			http://rest.kegg.jp/get/K09069
K09070	TCF15, PARAXIS; transcription factor 15				http://rest.kegg.jp/get/K09070
K09071	HAND1; heart-and neural crest derivatives-expressed protein 1	map04550(Signaling pathways regulating pluripotency of stem cells)			http://rest.kegg.jp/get/K09071
K09072	MSC; musculin (activated B-cell factor-1)				http://rest.kegg.jp/get/K09072
K09073	PTF1A; pancreas-specific transcription factor 1a				http://rest.kegg.jp/get/K09073
K09074	TYE7; fungal twist-like factor				http://rest.kegg.jp/get/K09074
K09075	NHLH, HEN, NSCL; nescient helix-loop-helix protein				http://rest.kegg.jp/get/K09075
K09076	MESP; mesoderm posterior				http://rest.kegg.jp/get/K09076
K09077	MSGN1; mesogenin 1				http://rest.kegg.jp/get/K09077
K09078	NEUROD2; neurogenic differentiation factor 2				http://rest.kegg.jp/get/K09078
K09079	NEUROD4, ATOH3, MATH3; neurogenic differentiation factor 4				http://rest.kegg.jp/get/K09079
K09080	NEUROD6, ATOH2, MATH2; neurogenic differentiation factor 6				http://rest.kegg.jp/get/K09080
K09081	NEUROG1; neurogenin 1	map04550(Signaling pathways regulating pluripotency of stem cells)			http://rest.kegg.jp/get/K09081
K09082	NEUROG2; neurogenin 2				http://rest.kegg.jp/get/K09082
K09083	ATOH1_7; atonal protein 1/7				http://rest.kegg.jp/get/K09083
K09084	ATOH8; atonal protein 8				http://rest.kegg.jp/get/K09084
K09085	BHLHB1_6_7; class B basic helix-loop-helix protein 1/6/7				http://rest.kegg.jp/get/K09085
K09086	BHLHB4_5, BETA; class B basic helix-loop-helix protein 4/5				http://rest.kegg.jp/get/K09086
K09087	HES2_6_7; hairy and enhancer of split 2/6/7	map05165(Human papillomavirus infection)			http://rest.kegg.jp/get/K09087
K09088	HES3; hairy and enhancer of split 3	map05165(Human papillomavirus infection)			http://rest.kegg.jp/get/K09088
K09089	HES4; hairy and enhancer of split 4	map05165(Human papillomavirus infection)			http://rest.kegg.jp/get/K09089
K09090	HESN; hairy and enhancer of split, invertebrate				http://rest.kegg.jp/get/K09090
K09091	HEY; hairy and enhancer of split related with YRPW motif	map05165(Human papillomavirus infection); map05200(Pathways in cancer); map05224(Breast cancer)			http://rest.kegg.jp/get/K09091
K09092	TCFL5, CHA; transcription factor-like 5				http://rest.kegg.jp/get/K09092
K09093	AHR; aryl hydrocarbon receptor	map04659(Th17 cell differentiation); map04934(Cushing's syndrome)			http://rest.kegg.jp/get/K09093
K09094	AHRR, AHH; aryl hydrocarbon receptor repressor				http://rest.kegg.jp/get/K09094
K09095	HIF2A, EPAS1; hypoxia-inducible factor 2 alpha	map05200(Pathways in cancer); map05211(Renal cell carcinoma)			http://rest.kegg.jp/get/K09095
K09096	HIF3A; hypoxia-inducible factor 3 alpha				http://rest.kegg.jp/get/K09096
K09097	ARNT; aryl hydrocarbon receptor nuclear translocator	map04066(HIF-1 signaling pathway); map04934(Cushing's syndrome); map05200(Pathways in cancer); map05204(Chemical carcinogenesis); map05211(Renal cell carcinoma)			http://rest.kegg.jp/get/K09097
K09098	NPAS1_3; neuronal PAS domain-containing protein 1/3				http://rest.kegg.jp/get/K09098
K09099	ARNTL2, BMAL2; aryl hydrocarbon receptor nuclear translocator-like protein 2				http://rest.kegg.jp/get/K09099
K09100	SIM; single-minded				http://rest.kegg.jp/get/K09100
K09101	NCOA1, SRC1, KAT13A; nuclear receptor coactivator 1	map04915(Estrogen signaling pathway); map04919(Thyroid hormone signaling pathway); map05200(Pathways in cancer); map05224(Breast cancer)	EC:2.3.1.48		http://rest.kegg.jp/get/K09101
K09102	INO; heteromeric Ino2p/Ino4p transcription factor				http://rest.kegg.jp/get/K09102
